album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
00cZAqb57SRmKrcpFYWuye,Golden Moments,artist:78cf375f-93f8-45a0-fc54-7014546757a2,album,2015,,1,,,00cZAqb57SRmKrcpFYWuye,,tidy_tuesday_dbcl
00eiw4KOJZ7eC3NBEpmH4C,Use Your Illusion II,artist:92b1eec2-666f-1b55-44e3-a7fee11737a6,album,1991,,1,,,00eiw4KOJZ7eC3NBEpmH4C,,tidy_tuesday_dbcl
00hYcSKigzR016vKD63ysl,La Linda,artist:312433c5-80ca-f3b9-6632-c60805796f5f,album,2019,,1,,,00hYcSKigzR016vKD63ysl,,tidy_tuesday_dbcl
00kSgH9g6nYBQhjnRQFBew,Battle Of The Sexes (Deluxe),artist:2893c525-79d0-37d4-e882-18bde7e01aad,album,2010,,2,,,00kSgH9g6nYBQhjnRQFBew,,tidy_tuesday_dbcl
00lk0dGMhyu40RBQGKiTr0,Thru These Tears / I Don’t Wanna Love You Anymore,artist:e943e3f5-4709-2829-69f8-4360b21d5a16,album,2018,,1,,,00lk0dGMhyu40RBQGKiTr0,,tidy_tuesday_dbcl
00lyZYZv9DXihmbMpcNjMb,The Definitive Collection,artist:6fe67cd1-228f-b7f9-fc40-c999c4177194,album,2007,,2,,,00lyZYZv9DXihmbMpcNjMb,,tidy_tuesday_dbcl
00pJz5yeIZNinzXBNZQNjB,Duffle Bag Boy (Explicit Version),artist:fa2be42f-c963-2e17-7409-4599197db812,album,2007,,1,,,00pJz5yeIZNinzXBNZQNjB,,tidy_tuesday_dbcl
00pu0U5MOZw6NGQygroPvd,Put EM Up,artist:f605c0b6-4a7f-2114-9516-731264f2bbe9,album,2017,,1,,,00pu0U5MOZw6NGQygroPvd,,tidy_tuesday_dbcl
00qCxnQQPsveeZWZaNVWo0,The Love Experience,artist:eb7ad368-901c-884a-704b-d994641397dc,album,2005,,2,,,00qCxnQQPsveeZWZaNVWo0,,tidy_tuesday_dbcl
00rLhuzj6YdBUKKnF8f4mo,EVOL,artist:da907a1b-8f74-e692-2d93-b025eecfb852,album,2016,,1,,,00rLhuzj6YdBUKKnF8f4mo,,tidy_tuesday_dbcl
00rcJMuYMSrKDj1oKpzTCM,"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)",artist:dd78108d-2f72-83a9-534e-1de8d74e4c9a,album,2019,,1,,,00rcJMuYMSrKDj1oKpzTCM,,tidy_tuesday_dbcl
00sZIJm0igl6aBYNktEuSy,Home,artist:b9147e9c-f9a5-e103-0196-5d499cd211e6,album,2019,,1,,,00sZIJm0igl6aBYNktEuSy,,tidy_tuesday_dbcl
00sv6j33F2pAAvnoh5eOSX,Find You (RAMI Remix),artist:05581a5b-ab56-3950-72a1-e6b147b3602c,album,2017,,1,,,00sv6j33F2pAAvnoh5eOSX,,tidy_tuesday_dbcl
00tCy4SMjRgPKj9zay9DIk,Regulate...G Funk Era,artist:cc2a781f-1a80-4c2a-bfa7-e535d101b5cb,album,1994,,1,,,00tCy4SMjRgPKj9zay9DIk,,tidy_tuesday_dbcl
00tuL4qPxBs3w8S1BaG3Zv,Outside Society,artist:be624fe6-b786-4f32-3a29-d0dab68743ba,album,2011,,1,,,00tuL4qPxBs3w8S1BaG3Zv,,tidy_tuesday_dbcl
00wIfIEWOqJ2RFrRazVl0i,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",artist:dd79e09f-77b1-03e6-2844-a7751cd759fa,album,2018,,1,,,00wIfIEWOqJ2RFrRazVl0i,,tidy_tuesday_dbcl
00wq3NzuxxDBc0tXtZGda9,Got You Babe (Erlandsson Remix),artist:e27b5207-b6d1-5b0f-e788-527a419e401e,album,2017,,1,,,00wq3NzuxxDBc0tXtZGda9,,tidy_tuesday_dbcl
00xSEAMEAPTF17t2rdOFYF,The Git Up,artist:3cdce646-c937-3ec7-1372-643d556cf95e,album,2019,,1,,,00xSEAMEAPTF17t2rdOFYF,,tidy_tuesday_dbcl
