album_id,title,artist_id,spotify_id
00rLhuzj6YdBUKKnF8f4mo,EVOL,artist:da907a1b-8f74-e692-2d93-b025eecfb852,00rLhuzj6YdBUKKnF8f4mo
00rcJMuYMSrKDj1oKpzTCM,"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)",artist:dd78108d-2f72-83a9-534e-1de8d74e4c9a,00rcJMuYMSrKDj1oKpzTCM
00sZIJm0igl6aBYNktEuSy,Home,artist:b9147e9c-f9a5-e103-0196-5d499cd211e6,00sZIJm0igl6aBYNktEuSy
00sv6j33F2pAAvnoh5eOSX,Find You (RAMI Remix),artist:05581a5b-ab56-3950-72a1-e6b147b3602c,00sv6j33F2pAAvnoh5eOSX
00tCy4SMjRgPKj9zay9DIk,Regulate...G Funk Era,artist:cc2a781f-1a80-4c2a-bfa7-e535d101b5cb,00tCy4SMjRgPKj9zay9DIk
00tuL4qPxBs3w8S1BaG3Zv,Outside Society,artist:be624fe6-b786-4f32-3a29-d0dab68743ba,00tuL4qPxBs3w8S1BaG3Zv
00wIfIEWOqJ2RFrRazVl0i,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",artist:dd79e09f-77b1-03e6-2844-a7751cd759fa,00wIfIEWOqJ2RFrRazVl0i
00wq3NzuxxDBc0tXtZGda9,Got You Babe (Erlandsson Remix),artist:e27b5207-b6d1-5b0f-e788-527a419e401e,00wq3NzuxxDBc0tXtZGda9
00xSEAMEAPTF17t2rdOFYF,The Git Up,artist:3cdce646-c937-3ec7-1372-643d556cf95e,00xSEAMEAPTF17t2rdOFYF
00yTqwPxJaPcjZeAwvW7is,We Will Recover,artist:6e15fd2f-519f-2cd6-8750-d3d46858da74,00yTqwPxJaPcjZeAwvW7is
00zPgHqu8TmPJA47iQY8gs,Runnin' (Dying To Live),artist:0f82983e-3dd5-2ca5-5e7d-21966d437014,00zPgHqu8TmPJA47iQY8gs
011iiGYooEuNN0c4770O6q,Bitch Lasagna,artist:c83e9868-1411-8cb3-4e3b-df0bbd12ab55,011iiGYooEuNN0c4770O6q
011s8kJjxflUbOSvArwjRY,Iwoak,artist:f713bb7d-c56b-da2a-87ae-0d87d0b7cdb1,011s8kJjxflUbOSvArwjRY
0158q1gcMUvS6PFPYkxpTe,Una vez más,artist:2937b467-3e4e-4dec-ec2b-a6cedd7230f0,0158q1gcMUvS6PFPYkxpTe
017W32dwhj2rGVWkZkwVSu,Cluster EP,artist:a0cc8da2-1ba3-3496-e81e-576d477a1f7f,017W32dwhj2rGVWkZkwVSu
018E4Cu0mlyMNR1IZcYMx6,Lick It Up (Remastered Version),artist:4188679c-1d8a-284c-cc41-a6b601869e05,018E4Cu0mlyMNR1IZcYMx6
018XQ1P5cLeJPhIeH4xL4l,Haciendo Escante,artist:afe99ab8-2036-e2c9-6ab0-a164a184dae9,018XQ1P5cLeJPhIeH4xL4l
01ChjoiBlN7bBmsvrzuzlo,Love Is Not Sex,artist:400ce9e5-1ecd-d337-f018-5b244342ee18,01ChjoiBlN7bBmsvrzuzlo
01DU4Brb6WmObvkqdsVWiN,Indestructible,artist:6b818a3a-6bf1-234e-d24c-940021922b63,01DU4Brb6WmObvkqdsVWiN
01FqJwpa24Vfb8DI6sZI6B,Pronounced Jah-Nay,artist:31237d35-c61d-f3d3-cdcf-52e4ccab55fd,01FqJwpa24Vfb8DI6sZI6B
01GXagELExsfYmrdJ2kgh7,Easy on Me,artist:8e652d80-e38f-36ea-08eb-0f7e672147f0,01GXagELExsfYmrdJ2kgh7
01IEzYjpPJfU8P7uTPiHmx,Magenta Riddim,artist:68b2213e-b9a1-78fa-378e-a6b1de4145ad,01IEzYjpPJfU8P7uTPiHmx
01IaGgpoFhPrIKPE3fAbps,Recognise,artist:7f6766dd-b9d2-8683-154c-7046e3c1fbbe,01IaGgpoFhPrIKPE3fAbps
01NWxx8CkzwkHQxGXqR2HB,Sideshow,artist:d71556ea-f304-59e9-ed17-319a841312ba,01NWxx8CkzwkHQxGXqR2HB
01OahkTPRCleDjobtRk7ST,Boston,artist:6aecdfe8-b004-d1e8-cb1e-42c4414687a9,01OahkTPRCleDjobtRk7ST
01PhXmyyzAVc5bkcgS2cms,Yo Se Que Tu Quieres (feat. Ñengo Flow),artist:d50ccf79-efb2-6d54-641b-f6794ebf0c80,01PhXmyyzAVc5bkcgS2cms
