artist_id,name,name_normalized,spotify_followers,spotify_popularity
artist:0043e72a-43a2-99f1-1dc4-ad7559e9c266,Ecostrike,ecostrike,,
artist:00448a6c-89cb-b67b-c140-92850de5e09b,Lady A,lady a,,
artist:00499452-fa50-1bb0-01a3-fedf04e2b5f2,Lani Mo,lani mo,,
artist:004c6da5-aa3d-3d77-1b56-8e988b9cc8ab,Tha Dogg Pound,tha dogg pound,,
artist:004cf6a7-8eb2-ede1-b86e-9c6527658cf0,Nekkrosis,nekkrosis,,
artist:004d8686-80b8-b009-4eed-e346e7f91195,Noréll,norll,,
artist:004da0fa-2a36-e7f2-568c-ed5ba1cea6ce,Sickddellz,sickddellz,,
artist:004e200d-47a7-9eb7-78d0-5023b7a47c2a,Chiquinho Dos Santos,chiquinho dos santos,,
artist:004e4a72-40aa-4752-d0a5-64d370f10ba7,梁雁翎,,,
artist:004fabe7-cfcb-250d-5662-eb53b16293a2,RBX,rbx,,
artist:004fd73a-fbd1-bfec-9391-9fb6dd812624,Anastacia,anastacia,,
artist:004ff04f-1e10-5f8b-fa18-947d4fa79654,Le Fly,le fly,,
artist:00508431-fd76-e830-9933-12b29891a8d0,Devil in a Woodpile,devil in a woodpile,,
artist:00510c64-d2b9-f5c7-11bf-88ec50d31875,Johnny Nicholas,johnny nicholas,,
artist:0052e368-aacb-42b3-9b2d-1311d90c6075,Gary L'Ange Noir,gary lange noir,,
artist:00537bfc-a98e-1d69-b628-53c48772c1d0,Jiminy Hop,jiminy hop,,
artist:005413b6-5293-13c0-99e2-2652a691e961,So Chanwhee,so chanwhee,,
artist:00559ea7-64f3-549e-2a9c-714ecd8af73f,ren,ren,,
artist:0055a9d3-f74c-9f61-8da9-7240118bd4f8,The Beets,the beets,,
artist:0055b9e4-ed92-1556-be0b-6c6283f5a2fc,Upon Your Dead Body,upon your dead body,,
artist:0055dca5-a1bb-5f01-1661-eab6440936ef,Anthracite,anthracite,,
artist:00582584-72bf-4316-fb66-fb376b42b2ce,Sinne Eeg,sinne eeg,,
artist:0058bea5-3114-fce1-6f8b-de8782385161,Musqitone,musqitone,,
artist:0058ce6d-2b27-06f4-40c8-d1ddbc8ccd2e,Teen Camp Choir,teen camp choir,,
artist:005cac0e-be37-190b-50eb-1a1cdf91dc6a,A Doom,a doom,,
artist:005df8dd-e3bc-9f0f-f583-09a301ef2a35,Marcelo Dias e Fabiana,marcelo dias e fabiana,,
artist:005e8e89-b40b-3537-cad7-0cb03bef0f04,Isak Strand vs. TOE,isak strand vs toe,,
artist:005f8f4c-2e8b-4c51-4ca6-c9c5c05a446a,CHRYS THOMPSON,chrys thompson,,
artist:0061a8ce-5ed1-9197-446b-07c94761b62d,Mysticum,mysticum,,
artist:00625b33-36b6-853e-470e-0b449391d2c7,Poppy Ackroyd,poppy ackroyd,,
artist:0062e7b8-5a3c-b97f-a97e-0f96e6c48891,Full Tilt,full tilt,,
